Code,Branch Name,Tier,Address,Telephone ,Postal Code,FSA,NBHD No.,NBHD Name,Ward No.,Ward Region,TSNS 2020 NIA,TSNS 2020 Branch,2011 Catchment Population,Hours Open per Week (Includes Sundays),Branch Staff Hours,"Floor Space 
(Sq Ft)",Collection Size,Total # of Public PCs with Internet Access,Seating,Total Rental Space (sq. ft.),Public Parking Spaces, Public Transit 
TRL,Toronto Reference Library,R&R,789 Yonge St,(416) 395-5577,M4W 2G8,M4W,95/98,Annex/ Rosedale-Moore Park ,27,Toronto Centre-Rosedale ,No,No,2615060,69,"327,928","426,535",1820279,255,1423,24235,None,50 m - 100 m
NYCL,North York Central,R&R,5120 Yonge St,(416) 395-5535,M2N 5N9,M2N,38/51,Lansing-Westgate/ Willowdale East,23,Willowdale ,No,No,85775,69,"184,366","168,022",654383,145,141,758,None,50 m - 100 m
FV,Fairview,DL ,35 Fairview Mall Dr,(416) 395-5750,M2J 4S4,M2J,47,Don Valley Village,33,Don Valley East ,No,No,49363,69,"75,330","69,458",219826,55,351,8838,114,50 m - 100 m
RI,Richview,DL ,1806 Islington Ave,(416) 394-5120,M9P 3N3,M9P,7,Willowridge-Martingrove-Richview,4,Etobicoke Centre ,No,Yes,79789,69,"51,761","47,252",156662,49,156,1649,139,less than 50 m
AG,Agincourt ,DL ,155 Bonis Ave,(416) 396-8943,M1T 3W6,M1T,118,Tam O'Shanter-Sullivan ,40,Scarborough-Agincourt ,No,No,60424,69,"69,178","27,000",152189,38,188,1500,86,less than 50 m
MAL,Malvern,DL ,30 Sewells Rd,(416) 396-8969,M1B 3G5,M1B,132,Malvern,42,Scarborough-Rouge River ,No,No,65040,69,"47,993","25,834",132514,40,186,1680,Shared,50 m - 100 m
BF,Barbara Frum,DL ,20 Covington Rd,(416) 395-5440,M6A 3C1,M6A,32,Englemount-Lawrence ,15,Eglinton-Lawrence,No,No,62399,69,"49,395","39,223",128094,29,108,1521,6,50 m - 100 m
ND,Northern District,DL ,40 Orchard View Blvd,(416) 393-7610,M4R 1B9,M4R,100,Yonge-Eglinton,16,Eglinton-Lawrence ,No,No,30634,69,"46,374","45,750",125597,25,239,4212,None,50 m - 100 m
CED,Cedarbrae,DL ,545 Markham Rd,(416) 396-8850,M1H 2A1,M1H,137,Woburn,43,Scarborough East,Yes,Yes,43515,69,"59,350","31,506",123731,67,175,1750,69,50 m - 100 m
AB,Albion,DL,1515 Albion Rd,(416) 394-5170,M9V 1B2,M9V,2,Mount Olive-Silverstone-Jamestown,1,Etobicoke North,Yes,Yes,48697,69,"43,826","32,279",116372,28,137,1467,120,100 m - 250 m
DM,Don Mills,DL ,888 Lawrence Ave E,(416) 395-5710,M3C 1P6,M3C,42,Banbury-Don Mills ,25,Don Valley West ,No,No,37844,69,"44,699","21,563",115216,24,100,1508,47,50 m - 100 m
LHS,Lillian H. Smith,DL ,239 College St,(416) 393-7746,M5T 1R5,M5T,78,Kensington-Chinatown ,20,Trinity-Spadina ,No,No,14284,69,"38,329","38,935",107182,35,110,1735,None,less than 50 m
YW,York Woods,DL,1785 Finch Ave W,(416) 395-5980,M3N 1M6,M3N,25,Glenfield-Jane Heights ,8,York West ,Yes,Yes,56263,69,"41,332","42,176",105126,46,89,15282,89,50 m - 100 m
ACD,Albert Campbell ,DL,496 Birchmount Rd,(416) 396-8890,M1K 1N8,M1K,120,Clairlea-Birchmount ,35,Scarborough-Southwest,No,Yes,49530,69,"43,880","26,100",103106,31,95,2098,45,50 m - 100 m
MAS,Maria A. Shchuka,DL ,1745 Eglinton Ave W,(416) 394-1000,M6E 2H4,M6E,107,Oakwood-Vaughan,15,Eglinton-Lawrence ,No,No,35495,69,"33,397","25,475",96601,33,130,1005,14,less than 50 m
SWS,S. Walter Stewart,DL ,170 Memorial Park Ave,(416) 396-3975,M4J 2K5,M4J,59,Danforth Village - East York,29,Toronto-Danforth ,No,No,29019,69,"36,436","25,847",96127,42,122,1887,19,50 m - 100 m
DO,Downsview,NL,2793 Keele St,(416) 395-5720,M3M 2G3,M3M,26,Downsview-Roding-CFB,9,York Centre ,Yes,Yes,45053,66,"31,795","20,016",82227,26,104,2133,16,50 m - 100 m
BR,Brentwood,DL ,36 Brentwood Rd N,(416) 394-5240,M8X 2B5,M8X,15,Kingsway South ,5,Etobicoke- Lakeshore,No,No,33138,69,"35,053","17,500",80307,35,130,715,None,100 m - 250 m
BL,Bloor/Gladstone,DL ,1101 Bloor St W,(416) 393-7674,M6H 1M7,M6H,83,Dufferin Grove ,18,Davenport,No,No,37035,69,"39,567","20,627",78297,39,137,1060,None,less than 50 m
PK,Parkdale,NL,1303 Queen St W,(416) 393-7686,M6K 1L6,M6K,85,South Parkdale,14,Parkdale-High Park ,Yes,Yes,26555,69,"25,389","24,083",73616,23,120,3849,None,less than 50 m
DP,Deer Park,NL,40 St. Clair Ave E,(416) 393-7657,M4T 1M9,M4T,98,Rosedale-Moore Park,22,St. Paul's ,No,No,29267,62,"24,388","16,558",72613,12,79,776,None,50 m - 100 m
EA,Eatonville,NL,430 Burnhamthorpe Rd,(416) 394-5270,M9B 2B1,M9B,14,Islington-City Centre West,5,Etobicoke-Lakeshore ,No,No,35778,65.5,"29,557","12,203",68977,11,70,1000,49,50 m - 100 m
LO,Locke,NL,3083 Yonge St,(416) 393-7730,M4N 2K7,M4N,103,Lawrence Park South,25,Don Valley West ,No,No,24344,62,"16,180","11,647",68102,9,70,614,10,less than 50 m
YO,Yorkville,NL,22 Yorkville Ave,(416) 393-7660,M4W 1L4,M4W,95,Annex ,27,Toronto Centre-Rosedale ,No,No,46077,62,"17,763","9,053",63434,7,47,N/A,None,50 m - 100 m
BRW,Bridlewood,NL,2900 Warden Ave ,(416) 396-8960,M1W 2S8,M1W,117,L'Amoreaux,39,Scarborough-Agincourt,No,No,39671,65.5,"20,875","7,690",62310,7,87,N/A,Shared,50 m - 100 m
PL,Parliament Street,NL,269 Gerrard St E,(416) 393-7663,M5A 2G6,M5A,73,Moss Park,28,Toronto Centre-Rosedale ,No,Yes,35152,69,"21,731","14,634",58895,11,86,968,None,50 m - 100 m
RD,Riverdale,NL,370 Broadview Ave,(416) 393-7720,M4K 2M8,M4K,68,North Riverdale ,30,Toronto-Danforth ,No,No,14942,62,"26,153","9,658",58419,18,110,800,None,less than 50 m
RN,Runnymede,NL,2178 Bloor St W,(416) 393-7697,M6S 1M8,M6S,88,High Park North,13,Parkdale-High Park,No,No,11299,62.5,"25,753","12,034",58286,13,66,625,None,100 m - 250 m
PA,Pape/Danforth,DL ,701 Pape Ave,(416) 393-7727,M4K 3S6,M4K,69,Blake-Jones ,30,Toronto-Danforth ,No,No,26128,69,"23,078","8,175",57394,14,54,423,None,less than 50 m
WS,Woodside Square,NL,1571 Sandhurst Cir,(416) 396-8979,M1V 1V2,M1V,129,Agincourt North,41,Scarborough-Rouge River ,No,No,27413,62,"24,534","9,792",56896,21,126,875,Shared,50 m - 100 m
JD,Jane/Dundas,NL,620 Jane St,(416) 394-1014,M6S 4A6,M6S,89,Runnymede-Bloor West Village ,13,Parkdale-High Park ,No,Yes,22642,62,"23,005","11,955",55348,19,45,765,16,50 m - 100 m
LE,Leaside,NL,165 McRae Dr,(416) 396-3835,M4G 1S8,M4G,56,Leaside-Bennington ,26,Don Valley West ,No,No,21058,62,"17,636","12,000",55091,11,78,1000,None,50 m - 100 m
SJ,St. James Town,NL,495 Sherbourne St,(416) 393-7744,M4X 1K7,M4X,74,North St. James Town ,28,Toronto Centre-Rosedale ,No,No,27541,40,"13,504","7,800",52878,18,123,N/A,None,less than 50 m
DR,Dawes Road,NL,416 Dawes Rd ,(416) 396-3820,M4B 2E8,M4B,54,O'Connor-Parkview,31,Beaches-East York ,No,Yes,29895,50.5,"14,251","6,740",51646,13,35,450,None,50 m - 100 m
